time,pool1_depth,pool2_depth,pool3_depth,pool4_depth,gate0_flow,gate1_flow,gate2_flow,gate3_flow,gate4_flow,offtake1,offtake2,offtake3
0,1.9994349999999999,1.7988462747510021,1.5991390361327198,1.5,24.0,24.0,24.0,24.0,24.0,2.0,4.732050807568877,3.799038105676658
5,1.998737197931843,1.7976568400582655,1.5983078213492172,1.4999968324759467,24.002825,24.006286175746997,24.008869067348837,24.008869067348837,24.008869067348837,2.520944533000791,4.879385241571817,3.6490666646784673
10,1.9979105349739905,1.7964444470948329,1.5975135686990591,1.49999024597638,24.006314010340784,24.013343490165987,24.018420026118335,24.018429528690493,24.01844219878671,3.026060429977006,4.969615506024416,3.464181414529809
15,1.9969628423646424,1.7952224905049552,1.5967623233450108,1.499980016849268,24.01044732513005,24.02111398384555,24.02857327774837,24.028602539819232,24.028641555913712,3.5,5.0,3.2500000000000004
20,1.995905604209359,1.794004601148601,1.596058778711662,1.499965955696167,24.015185788176787,24.02951831666192,24.039231346626888,24.039291296079085,24.039371228682015,3.9283628290596178,4.969615506024416,3.013030214988503
25,1.994753609234517,1.7928042315459742,1.595406133702395,1.4999479127856319,24.020471978953204,24.0384581755074,24.050281839372417,24.050383972283917,24.05052014949925,4.298133329356935,4.879385241571817,2.7604722665003956
30,1.9935245020012746,1.7916348744288233,1.5948059953214546,1.499925782261138,24.026231953827416,24.047819259189495,24.06160085808231,24.061757119725417,24.06196546858289,4.598076211353316,4.732050807568878,2.5
35,1.9922382478650227,1.790508563745055,1.5942583300556425,1.4998995056879543,24.032377489993628,24.05747286670716,24.073054880742795,24.07327753395938,24.07357440491483,4.819077862357725,4.532088886237956,2.239527733499605
40,1.9909165259863058,1.789435988492019,1.5937614644082987,1.499869072995291,24.038808760674886,24.06728306943972,24.084508079272794,24.08480956220893,24.085211539457113,4.9544232590366235,4.285575219373079,1.986969785011497
45,1.9895820705676837,1.7884261674769708,1.5933121355578745,1.4998345224594336,24.04541737006847,24.077109404592413,24.095825011367516,24.096217792381644,24.09674150040048,5.0,4.000000000000001,1.7499999999999998
50,1.988257979812732,1.7874861748912054,1.5929055902999871,1.499795939216276,24.05208964716158,24.086811144730667,24.106874738057044,24.107371170678743,24.108033080841007,4.9544232590366235,3.6840402866513378,1.5358185854701916
55,1.98696701363752,1.786620925058626,1.5925357292675346,1.499753452348116,24.05871010093634,24.096251576262727,24.117534805362766,24.11814698771394,24.118963230848834,4.819077862357725,3.3472963553338606,1.3509333353215331
60,1.9857309015244275,1.7858330229086015,1.5921952920482485,1.499707230632974,24.0651649318124,24.105302156636522,24.127694968833918,24.12843461178957,24.129420802397107,4.598076211353316,3.0000000000000004,1.2009618943233424
65,1.9845696816115586,1.7851226847116464,1.5918760775768173,1.4996574770854467,24.071345492377862,24.113846423652056,24.13726054750731,24.13813885560839,24.139309933076493,4.298133329356935,2.65270364466614,1.0904610688211374
70,1.9835010911660178,1.7844877314711536,1.5915697816488459,1.4996044224549183,24.077151591942208,24.121783537807268,24.146155305076817,24.147182873820476,24.14855296547869,3.928362829059618,2.3159597133486627,1.022788370481688
75,1.982540027024328,1.78392365581752,1.5912672285349958,1.499548318509338,24.08249454416991,24.129031349756453,24.154322004809917,24.15550873744516,24.157091047625485,3.500000000000001,1.9999999999999998,1.0
80,1.9816980924471463,1.7834237584919355,1.5909590996041296,1.4994894295871035,24.08729986487836,24.1355288974258,24.161727211820814,24.1630822562928,24.164888982255448,3.0260604299770066,1.7144247806269222,1.0227883704816878
85,1.9809832441910127,1.7829793519369908,1.5906362162993402,1.4994280242455442,24.091509537764267,24.14123826228846,24.168360963476072,24.169892674714763,24.17193495636635,2.5209445330007907,1.4679111137620442,1.0904610688211376
90,1.9803995505363503,1.7825800242558834,1.5902898188632304,1.4993643667796095,24.095083779044938,24.146145723233964,24.174237074335945,24.17595300159931,24.178240904617134,2.0000000000000004,1.2679491924311233,1.2009618943233416
95,1.9799470676175428,1.7822139554966616,1.5899118323443124,1.4992987088687153,24.09800224731825,24.150262174550598,24.17939271796091,24.18129961762208,24.183842150503644,1.47905546699921,1.1206147584281831,1.3509333353215327
100,1.9796218377864647,1.7818682766386693,1.5894951118023133,1.499231281605748,24.100264661912284,24.1536227954223,24.183887298389365,24.18599117178322,24.188796336308357,0.973939570022994,1.030384493975584,1.5358185854701907
