period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost,reservoir_status,capacity_usage
t00,0,34961.5,0.0,38.5,38.5,38.5,0.0,100.0,5.005,0.4,2.0020000000000002,正常,27.500000000000004
t01,1,34923.0,0.0,38.5,38.5,38.5,0.0,100.0,5.005,0.4,2.0020000000000002,正常,27.500000000000004
t02,2,34884.5,0.0,38.5,38.5,38.5,0.0,100.0,5.005,0.4,2.0020000000000002,正常,27.500000000000004
t03,3,34846.0,0.0,38.5,38.5,38.5,0.0,100.0,5.005,0.4,2.0020000000000002,正常,27.500000000000004
t04,4,34807.5,0.0,38.5,38.5,38.5,0.0,100.0,5.005,0.4,2.0020000000000002,正常,27.500000000000004
t05,5,34769.0,0.0,38.5,38.5,38.5,0.0,100.0,5.005,0.4,2.0020000000000002,正常,27.500000000000004
t06,6,34705.75,0.0,63.25000000000001,63.25,63.25000000000001,0.0,100.0,8.2225,0.4,3.289,正常,45.17857142857143
t07,7,34624.3817425127,0.0,81.36825748732971,81.368257487331,81.36825748732971,0.0,100.0,10.57787347335303,0.8,8.462298778682424,正常,58.12018391952214
t08,8,34541.8817425127,0.0,82.5,82.5,82.5,0.0,100.0,10.725,1.2,12.87,正常,58.92857142857143
t09,9,34459.3817425127,0.0,82.5,82.5,82.5,0.0,100.0,10.725,1.2,12.87,正常,58.92857142857143
t10,10,34376.8817425127,0.0,82.5,82.5,82.5,0.0,100.0,10.725,1.2,12.87,正常,58.92857142857143
t11,11,34305.3817425127,0.0,71.5,71.5,71.5,0.0,100.0,9.295,1.2,11.154,正常,51.07142857142857
t12,12,34233.8817425127,0.0,71.5,71.5,71.5,0.0,100.0,9.295,0.8,7.436,正常,51.07142857142857
t13,13,34156.8817425127,0.0,77.0,77.0,77.0,0.0,100.0,10.01,0.8,8.008000000000001,正常,55.00000000000001
t14,14,34079.8817425127,0.0,77.0,77.0,77.0,0.0,100.0,10.01,0.8,8.008000000000001,正常,55.00000000000001
t15,15,34002.8817425127,0.0,77.0,77.0,77.0,0.0,100.0,10.01,0.8,8.008000000000001,正常,55.00000000000001
t16,16,33925.8817425127,0.0,77.0,77.0,77.0,0.0,100.0,10.01,0.8,8.008000000000001,正常,55.00000000000001
