scenario,description,total_demand,total_supply,shortage,supply_rate,energy,cost,unit_cost
正常运行,基准场景，正常入流和需求,2401.4128990685103,2401.412899068513,0.0,100.0,312.1836768789067,264.64041225468804,0.11020196166904064
缺水场景,入流减少30%，模拟旱季,2401.4128990685103,2401.412899068513,0.0,100.0,312.1836768789067,264.64041225468804,0.11020196166904064
高峰需求,需求增加40%，模拟特殊活动或高温天气,3361.978058695915,3361.9780586959164,0.0,100.0,437.0571476304691,370.496577156563,0.11020196166904062
严重干旱,入流减少50%，低库存,2401.4128990685103,2401.4128990685094,0.0,100.0,312.1836768789062,264.6404122546875,0.11020196166904057
设备故障,泵站容量降低40%，模拟设备故障,2401.4128990685103,2401.412899068513,0.0,100.0,312.1836768789067,264.64041225468804,0.11020196166904064
